-4958.76,-65826.2,-100887.48,-68071.52,-154390.22,-175914.95,-166900.06,-187500.02
-4318.85,-65851.57,-100869.3,-68086.23,-154377.89,-175907.44,-166891.53,-187500.02
-1512.9,-65049.41,-100857.08,-68555.19,-154371.36,-175908.56,-166886.52,-187500.02
-1815.97,-64661.05,-100840.09,-68610.33,-154359.89,-175902.88,-166878.39,-187500.02
-4729,-65729.3,-100817.63,-68151.49,-154343.02,-175888.59,-166867.28,-187500.02
-4749.28,-65830.38,-100799.23,-68052.99,-154330.41,-175880.22,-166859.05,-187500.02
-1920.73,-65272.97,-100784.84,-68476.06,-154321.84,-175879.2,-166852.22,-187500.02
-1431.99,-64542.8,-100771.52,-68631.92,-154313.98,-175877.91,-166847.16,-187500.02
-4310.96,-65594.09,-100751.45,-68188.22,-154299.47,-175866.3,-166838.13,-187500.02
-5027.56,-65794.46,-100728.85,-67971.45,-154282.67,-175853.22,-166826.19,-187500.02
-2388.37,-65421.52,-100713.45,-68336.21,-154272.94,-175850.59,-166818.63,-187500.02
-1173.31,-64459.46,-100703.86,-68597.99,-154268.73,-175853.5,-166816.77,-187500.02
-3833.73,-65407.21,-100683.45,-68213.48,-154253.94,-175842.11,-166807.11,-187500.02
-5212.74,-65756.1,-100660.05,-67905.6,-154236.28,-175827.67,-166794.72,-187500.02
-2916.1,-65529.64,-100645.01,-68202.59,-154227.14,-175825.13,-166788.06,-187500.02
-1067.12,-64469.65,-100632.42,-68553.58,-154220.08,-175825.61,-166782.88,-187500.02
-3305.33,-65178.67,-100612.95,-68257.69,-154206.05,-175815.33,-166773.58,-187500.02
-5267.84,-65714.28,-100592.16,-67877.3,-154190.86,-175802.98,-166764.03,-187500.02
-3446.26,-65590.21,-100577.21,-68085.84,-154181.77,-175799.97,-166757.86,-187500.02
-1102.54,-64554.16,-100564.49,-68497.52,-154174.55,-175800.58,-166752.39,-187500.02
-2772.78,-64922.11,-100544.6,-68306.3,-154160.05,-175790.55,-166742.13,-187500.02
-5213.7,-65659.23,-100522.16,-67867.76,-154143.25,-175776.3,-166730.98,-187500.02
-3971.86,-65609.95,-100503.37,-67970.34,-154130.3,-175768.91,-166721.39,-187500.02
-1289.52,-64702.84,-100490.98,-68414.58,-154123.45,-175769.84,-166716.09,-187500.02
-2260.86,-64671.44,-100475.8,-68344.13,-154113.53,-175765.08,-166710.02,-187500.02
-5033.66,-65585.47,-100453.74,-67877.89,-154097.08,-175751.11,-166699.28,-187500.02
-4440.31,-65605.14,-100433.29,-67871.2,-154082.44,-175741.33,-166688.42,-187500.02
-1605.46,-64884.12,-100419.59,-68316.27,-154074.33,-175741.08,-166682.03,-187500.02
-1820.77,-64462.68,-100403.79,-68366.85,-154063.95,-175736.66,-166674.92,-187500.02
-4741.34,-65481.64,-100383.38,-67901.73,-154049.14,-175724.42,-166665.69,-187500.02
-4834.59,-65583.19,-100364.6,-67786.45,-154036.03,-175715.53,-166657.06,-187500.02
-2030.86,-65063.38,-100350.41,-68205.38,-154027.36,-175714.39,-166650.28,-187500.02
-1473.96,-64316.74,-100334.85,-68375.39,-154017.19,-175710.72,-166642.78,-187500.02
-4343.88,-65342.66,-100316.01,-67941.77,-154003.8,-175700.27,-166634.84,-187500.02
-5130.93,-65551.96,-100296.23,-67721.88,-153989.75,-175689.98,-166625.7,-187500.02
-2523.04,-65208.42,-100279.94,-68085.71,-153979.11,-175686.47,-166617.3,-187500.02
-1243.54,-64250.82,-100267.42,-68361.96,-153971.94,-175686.42,-166612.38,-187500.02
-3871.72,-65158.82,-100247.46,-67989.87,-153957.36,-175675.09,-166602.88,-187500.02
-5314.8,-65517.7,-100228.7,-67679.09,-153944.19,-175665.06,-166594.98,-187500.02
-3062.17,-65312.93,-100213.48,-67968.99,-153934.67,-175662.08,-166587.88,-187500.02
-1157.26,-64278.94,-100200.72,-68327.8,-153927.23,-175662.17,-166582.45,-187500.02
-3351.96,-64938.99,-100181.14,-68038.26,-153913.02,-175651.95,-166572.92,-187500.02
-5379.89,-65475.95,-100158.74,-67649.25,-153896.09,-175637.86,-166561.58,-187500.02
-3617.76,-65368.37,-100140.3,-67845.5,-153883.42,-175631.22,-166551.89,-187500.02
-1227.6,-64403.8,-100129.71,-68262.96,-153878.13,-175633.67,-166548.41,-187500.02
-2831.21,-64714.55,-100115.59,-68084.88,-153869.34,-175629.42,-166543.78,-187500.02
